epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2888,1.49413,2.07479,1.15012,0.33849,0.25944,0.16276,0.09658,1.45234,1.6833,1.14774,0.0672,0.000331313,0.000331313
2,28.8959,1.39279,1.41585,1.11151,0.28593,0.34732,0.23298,0.14449,1.38356,1.29524,1.11161,0.0341998,0.000664484,0.000664484
3,42.9755,1.35322,1.29068,1.10207,0.37506,0.40002,0.31261,0.19587,1.37111,1.1977,1.10236,0.00119903,0.000997005,0.000997005
4,56.4439,1.3144,1.1868,1.09489,0.31803,0.37341,0.31733,0.20439,1.40749,1.24339,1.1287,0.000997803,0.000997803,0.000997803
5,69.6835,1.31226,1.11902,1.09337,0.35425,0.48272,0.37109,0.24579,1.35779,1.17803,1.1003,0.000996097,0.000996097,0.000996097
6,82.8655,1.28413,1.067,1.08035,0.35772,0.43114,0.34815,0.22599,1.36348,1.1528,1.11718,0.000993906,0.000993906,0.000993906
7,95.9326,1.27944,1.02145,1.0797,0.37369,0.43897,0.36155,0.23996,1.33709,1.13764,1.09838,0.000991232,0.000991232,0.000991232
8,109.233,1.25996,0.988,1.07284,0.46055,0.38276,0.34883,0.22838,1.33708,1.15186,1.11036,0.000988079,0.000988079,0.000988079
9,122.701,1.26094,0.96014,1.07839,0.40034,0.46917,0.3905,0.25412,1.35405,1.08266,1.1127,0.000984449,0.000984449,0.000984449
10,135.792,1.24887,0.94393,1.07174,0.36286,0.49461,0.37438,0.2519,1.33004,1.16113,1.09794,0.000980345,0.000980345,0.000980345
11,148.905,1.24333,0.91148,1.06577,0.37543,0.49621,0.39449,0.26106,1.3208,1.07038,1.09873,0.000975773,0.000975773,0.000975773
12,161.855,1.22622,0.90164,1.0631,0.39076,0.43337,0.3513,0.23506,1.32098,1.29844,1.11455,0.000970736,0.000970736,0.000970736
13,175,1.21865,0.88209,1.062,0.41277,0.52494,0.394,0.26403,1.30977,1.13454,1.09906,0.000965239,0.000965239,0.000965239
14,188.442,1.22031,0.86542,1.06178,0.42568,0.51577,0.40023,0.26773,1.31449,1.18935,1.10684,0.000959289,0.000959289,0.000959289
15,202.074,1.20376,0.8481,1.05247,0.41044,0.50277,0.38569,0.26467,1.30771,1.19996,1.10419,0.000952889,0.000952889,0.000952889
16,215.471,1.20025,0.82853,1.05472,0.44142,0.48941,0.39105,0.26283,1.32595,1.1583,1.1012,0.000946048,0.000946048,0.000946048
17,228.757,1.21105,0.8392,1.0529,0.44189,0.5142,0.37665,0.25825,1.30455,1.19708,1.10794,0.000938772,0.000938772,0.000938772
18,241.954,1.19868,0.82496,1.04666,0.44238,0.49648,0.37233,0.25443,1.29587,1.22668,1.10036,0.000931067,0.000931067,0.000931067
19,255.017,1.17879,0.79753,1.04365,0.47547,0.50368,0.42674,0.29131,1.29436,1.12388,1.08912,0.000922942,0.000922942,0.000922942
20,268.001,1.17855,0.79685,1.04549,0.47501,0.50932,0.42129,0.28623,1.30508,1.06675,1.09069,0.000914405,0.000914405,0.000914405
21,281.052,1.17561,0.7959,1.04176,0.44335,0.50478,0.41078,0.28025,1.31058,1.11045,1.09007,0.000905463,0.000905463,0.000905463
